cause,group,d,e1,ci1,p1,e2,ci2,p2
"Relapse or Death",1,"23","1.00","",".012$^*$","1.00","",".029$^*$"
"",2,"25","1.09","[0.60, 1.97]","","1.08","[0.59, 1.97]",""
"",3,"14","0.61","[0.31, 1.21]","","0.66","[0.33, 1.32]",""
"",4,"13","0.51","[0.26, 1.03]","","0.50","[0.25, 1.02]",""
"\\ Relapse",1,"8","1.00","",".029$^\S$","1.00","",".025$^\S$"
"",2,"16","2.13","[0.89, 5.07]","","2.12","[0.88, 5.11]",""
"",3,"8","0.98","[0.36, 2.64]","","1.07","[0.39, 2.92]",""
"",4,"11","1.32","[0.52, 3.37]","","1.33","[0.52, 3.42]",""
"\\ Death",1,"15","1.00","","","1.00","",""
"",2,"9","0.56","[0.23, 1.33]","","0.55","[0.23, 1.32]",""
"",3,"6","0.42","[0.16, 1.11]","","0.44","[0.16, 1.17]",""
"",4,"2","0.12","[0.03, 0.51]","","0.11","[0.02, 0.48]",""
